TILEMAP
16 16 							-- Size of tile map in tiles
16 16 							-- Tile size & block size
images/tilesheet_definitivo_v1.png 	-- Tilesheet
16 16 								-- Number of tiles in tilesheet
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
52,52,52,18,18,18,18,18,18,18,18,18,18,52,52,52
52,52,52,18,18,18,18,18,18,18,18,18,18,52,52,52
52,52,52,18,18,18,18,18,18,18,18,18,18,52,52,52
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
