TILEMAP
16 16 							-- Size of tile map in tiles
16 16 							-- Tile size & block size
images/tilesheet_definitivo_v1.png 	-- Tilesheet
16 16 								-- Number of tiles in tilesheet
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
32,32,32,32,32,32,32,32,32,1,2,2,2,2,2,3
32,32,32,32,32,32,32,32,32,35,18,18,18,18,18,18
32,32,32,32,32,32,32,32,32,35,18,18,18,18,18,18
32,32,32,32,32,32,32,32,32,35,18,18,18,18,18,18
32,32,32,32,1,2,2,2,51,2,2,2,2,2,2,3
32,32,32,32,35,18,18,18,18,18,18,18,18,18,18,18
2,2,2,51,2,2,2,2,2,2,2,2,2,2,2,3
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
