TILEMAP
36 28 							-- Size of tile map in tiles
16 16 							-- Tile size & block size
images/tilesheet_definitivo_v1.png 	-- Tilesheet
16 16 								-- Number of tiles in tilesheet
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,63,63,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,63,63,63,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,35,24,63,63,63,63,47,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,63,35,24,63,63,63,63,63,47,0,0,0,0,0,0,0,0,0,0,0,0
16,16,16,16,16,51,16,16,57,47,16,16,1,51,63,63,35,24,63,63,63,63,63,63,47,16,16,16,16,16,16,16,16,16,16,16
32,32,32,32,51,14,32,57,63,63,47,32,35,24,63,63,35,24,63,63,63,63,1,3,63,47,32,32,32,32,32,32,32,32,32,32
32,32,32,32,14,14,57,63,63,63,63,47,35,24,63,63,35,24,63,63,63,63,35,24,63,63,47,32,32,32,32,32,32,32,32,32
32,32,32,32,14,14,63,63,63,63,63,63,35,24,63,63,35,24,63,63,63,63,35,24,63,63,63,47,32,32,32,32,32,32,32,32
1,3,32,51,14,14,63,63,63,63,51,63,35,24,63,63,35,24,63,63,63,63,35,24,1,51,63,63,47,32,32,32,32,32,32,32
35,24,57,63,63,14,63,63,63,63,14,63,35,24,63,63,35,24,63,63,63,63,35,24,35,24,63,63,63,47,57,47,32,32,32,32
35,24,63,63,63,14,63,63,63,63,14,63,35,24,51,2,35,24,63,63,63,63,35,24,35,24,63,63,63,63,63,63,47,32,32,32
35,24,63,63,63,14,63,63,51,63,14,63,35,24,35,19,35,24,63,63,1,51,35,24,35,24,63,63,63,63,63,63,63,47,32,32
35,24,51,63,63,14,63,63,14,63,14,63,35,24,35,19,35,24,63,63,35,24,35,24,35,24,63,63,63,51,63,63,63,63,1,3
35,24,63,63,63,14,63,63,14,63,14,63,35,24,35,19,35,24,63,63,35,24,35,24,35,24,63,63,63,14,63,63,63,63,35,24
35,24,63,63,63,14,14,51,14,63,14,63,35,24,35,19,35,24,63,63,35,24,35,24,35,24,63,63,63,14,63,63,63,63,35,24
35,24,63,63,63,14,14,14,14,63,14,63,35,24,35,19,35,24,63,63,35,24,35,24,35,24,63,63,63,14,63,63,63,63,35,24
35,24,63,63,63,14,14,14,14,63,14,63,35,24,35,19,35,19,63,63,35,24,35,24,35,24,63,63,63,14,63,63,63,63,35,24
35,24,63,63,63,14,14,14,14,63,14,63,35,24,35,19,35,19,63,63,35,24,35,24,35,24,63,63,63,14,63,63,63,63,35,24
51,24,63,63,63,14,14,14,14,63,14,63,35,24,35,19,35,19,63,63,35,24,35,24,35,24,63,63,63,14,63,63,63,63,35,24
35,24,63,63,63,14,14,14,14,63,14,63,35,19,35,19,35,19,63,63,35,24,35,24,35,24,63,63,63,63,63,63,63,63,35,24
35,24,63,63,63,14,14,14,14,63,14,63,35,19,35,19,35,19,63,63,35,24,35,19,35,24,63,63,63,63,63,63,63,63,35,24
35,24,63,63,63,14,14,14,14,63,14,63,35,19,35,19,35,19,63,63,35,24,35,19,35,24,63,63,63,63,63,63,63,63,35,24
35,24,63,63,63,63,63,63,63,63,63,63,35,19,35,19,35,19,63,63,35,24,35,19,35,24,63,63,63,63,63,63,63,63,35,24
35,19,63,63,63,63,63,63,63,63,63,63,35,19,35,19,35,19,63,63,35,24,35,19,35,19,63,63,63,63,63,63,63,63,35,19
1,2,51,2,2,2,2,2,2,2,2,2,2,2,2,51,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,51,2,3
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
