TILEMAP
16 16 							-- Size of tile map in tiles
16 16 							-- Tile size & block size
images/tilesheet_definitivo_v1.png 	-- Tilesheet
16 16 								-- Number of tiles in tilesheet
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,16,16,16,16,16,16,16,16,16,16,1,3,3
35,53,19,32,32,32,32,32,32,32,32,32,32,35,53,19
35,53,19,32,32,32,32,32,32,32,32,32,32,35,53,19
35,53,19,4,32,32,32,34,32,32,32,32,4,35,53,19
2,2,2,2,51,2,2,34,2,2,2,51,2,2,2,2
35,18,18,18,18,18,18,50,18,18,18,18,18,18,18,19
35,18,18,18,18,18,18,50,18,18,18,18,18,18,18,19
35,18,34,18,18,18,18,50,18,18,18,18,18,34,18,19
1,2,34,2,10,10,2,2,2,10,10,2,2,34,2,3
35,18,34,18,18,18,18,18,18,18,18,18,18,50,18,19
35,18,34,18,18,18,18,18,18,18,18,18,18,50,18,19
1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18

